age_20_24,age_25_34,age_35_44,age_45_54,age_55_64,gradeEquiv,wrat_total
below_45,below_45,below_45,below_45,below_45,preschool,0
below_45,below_45,below_45,below_45,below_45,preschool,1
below_45,below_45,below_45,below_45,below_45,preschool,2
below_45,below_45,below_45,below_45,below_45,preschool,3
below_45,below_45,below_45,below_45,below_45,preschool,4
below_45,below_45,below_45,below_45,below_45,preschool,5
below_45,below_45,below_45,below_45,below_45,preschool,6
below_45,below_45,below_45,below_45,below_45,preschool,7
below_45,below_45,below_45,below_45,below_45,preschool,8
below_45,below_45,below_45,below_45,below_45,preschool,9
below_45,below_45,below_45,below_45,below_45,preschool,10
below_45,below_45,below_45,below_45,below_45,preschool,11
below_45,below_45,below_45,below_45,below_45,preschool,12
below_45,below_45,below_45,below_45,below_45,k,13
below_45,below_45,below_45,below_45,below_45,k,14
below_45,below_45,below_45,below_45,below_45,k,15
below_45,below_45,below_45,below_45,below_45,k,16
below_45,below_45,below_45,below_45,below_45,k,17
below_45,below_45,below_45,below_45,below_45,k,18
below_45,below_45,below_45,below_45,46,1,19
below_45,below_45,below_45,below_45,48,1,20
45,below_45,below_45,below_45,49,1,21
47,45,below_45,below_45,51,1,22
49,47,45,45,53,1,23
52,49,47,47,55,2,24
54,52,49,49,57,2,25
56,54,51,51,59,2,26
58,56,53,53,61,2,27
60,58,55,55,63,2,28
62,60,57,58,65,3,29
64,62,60,60,67,3,30
67,64,62,62,69,3,31
69,67,64,64,71,4,32
71,69,66,66,73,4,33
73,71,68,68,74,4,34
75,73,70,70,76,5,35
77,75,72,73,78,5,36
79,77,75,75,80,6,37
82,79,77,77,82,6,38
84,82,79,79,84,7,39
86,84,81,81,86,8,40
88,86,83,83,88,8,41
90,88,85,85,90,HS,42
92,90,87,88,92,HS,43
94,92,90,90,94,HS,44
97,94,92,92,96,HS,45
99,97,94,94,98,HS,46
101,99,96,96,99,HS,47
103,101,98,98,101,post-HS,48
105,103,100,100,103,post-HS,49
107,105,102,103,105,post-HS,50
109,107,105,105,107,post-HS,51
112,109,107,107,109,post-HS,52
114,112,109,109,111,post-HS,53
116,114,111,111,113,post-HS,54
118,116,113,113,115,post-HS,55
120,118,115,115,117,post-HS,56
122,120,117,118,119,post-HS,57
